#,الجامعة,الدولة,المدينة,الموقع الرسمي,city_fill_method
3109,I2IT Centre of Excellence for Advanced Education & Research,India,,,
3110,IEM Management College,India,,,
3111,IILM College of Management Studies,India,,,
3113,Indian Institute for Production Management IIPM Kansbahal,India,,,
3114,Indian Institute of Crop Processing Technology,India,,,
3115,Indian Institute of Finance & Management,India,,,
3123,Indian Railways Institute of Mechanical & Electrical Engineering,India,,,
3124,Indian School OF Business & Finance,India,,,
3125,Indian School of Mines University,India,,,
3127,Indira Gandhi Medical College,India,,,
3129,Indira Kala Sangeet University,India,,,
3131,Indraprastha College of Management & Technology,India,,,
3132,Indus Business Academy,India,,,
3133,Institute for Integrated Learning in Management,India,,,
3134,Institute for Studies in Industrial Development ISID,India,,,
3136,Institute of Engineering & Technology,India,,,
3140,Institute of Management,India,,,
3143,Integral University Distance Education,India,,,
3144,International Institute of Management & Human Resource Development IIMHRD,India,,,
3147,Jamal Mohamed College,India,,,
3148,Jamia Nusrath,India,,,
3149,Janapada University,India,,,
3150,Jawaharlal Nehru Medical College,India,,,
3151,Jayawantrao Sawant College of Engineering JSPM,India,,,
3152,JECRC UDML College of Engineering,India,,,
3154,JEPPIAAR SRR Engineering College,India,,,
3155,Jhanji Hemnath Sarma College,India,,,
3156,John College,India,,,
3159,Jyothishmathi College of Engineering & Technology,India,,,
3160,Jyothishmathi Institute of Technological Sciences,India,,,
3161,K Modi University,India,,,
3162,K R Engineering College,India,,,
3164,Kandula Obul Reddy Memorial College of Engineering,India,,,
3172,KENT Institute of Higher Education,India,,,
3173,Khallikote Autonomous College,India,,,
3174,KIT Kalasalingam Institute of Technology,India,,,
3179,KM Kundnani College of Pharmacy,India,,,
3180,KMP College of Engineering,India,,,
3181,Kohinoor International Management Institute,India,,,
3183,Kongu College of Arts & Science Dheeran,India,,,
3185,Kongunadu Arts & Science College,India,,,
3186,Kovai Medical Center Research & Educational Trust,India,,,
3187,Krishna Engineering College,India,,,
3189,Kristu Jayanti College,India,,,
3191,L B S Engineering College,India,,,
3192,L E Society's Polytechnic,India,,,
3193,L N College of Information Technology,India,,,
3196,Lal Bahadur Shastri Institute of Management & Technology,India,,,
3198,Leopard Hill Global Learning,India,,,
3199,Lingaya's Institue of Health Science,India,,,
3200,Lord Krishna College of Engineering,India,,,
3201,Loyola College,India,,,
3202,M Jacob Memorial Government College Manimalakunnu,India,,,
3203,M S Institute of Technology & Management,India,,,
3205,Magna College of Engineering,India,,,
3207,Maharaja Agrasen College of Engineering & Technology,India,,,
3208,Maharaja Agresen Institute of Technology MAIT,India,,,
3209,Maharashtra Institute of Technology,India,,,
3215,Mahatma Gandhi College,India,,,
3216,Mahaveer Institute of Science & Technology MIST,India,,,
3217,Mahaveer Institute of Technology & Science,India,,,
3218,Mahindra Ecole Centrale,India,,,
3219,Makhanal Chaturvedi Rastriya Patrakarita Evam Sanchar Vishwavidyalaya,India,,,
3220,Malabar Institute of Technology,India,,,
3221,Malla Reddy College of Engineering,India,,,
3222,Malla Reddy College of Engineering & Technology MRCET,India,,,
3224,Manav Rachna College of Engineering,India,,,
3227,Mannar College,India,,,
3229,Mar Baselios Institute of Technology,India,,,
3230,Mar Thoma College MTCC,India,,,
3232,Marymatha Major Seminary,India,,,
3233,Matha College of Technology,India,,,
3234,Matrusri Institute of P G College,India,,,
3235,Maulana Azad College,India,,,
3236,Maynaguri College,India,,,
3237,MCE College,India,,,
3239,MediaOne Academy of Communication,India,,,
3240,Medical College Hospital India,India,,,
3241,Meenakshi Dental College & Hospital,India,,,
3244,Modinagar Institute of Technology,India,,,
3245,Mohammed Sathak College of Arts & Science,India,,,
3246,MR Degree College,India,,,
3247,Multani Mal Modi College,India,,,
3248,Muthayammal College of Engineering,India,,,
3249,Muthayammal Educational Institution,India,,,
3250,Muthayammal Memorial College of Arts & Science,India,,,
3252,N College of Engineering & Technology,India,,,
3253,N M Institute of Technology,India,,,
3254,Nadar Saraswathi College of Engineering & Technology NSCET,India,,,
3255,Nar Bahadur Bhandari Government College Tadong,India,,,
3256,Narasaraopeta Institute of Technology,India,,,
3257,Narayana Engineering College,India,,,
3258,Narendra Deva University of Agricultural & Technology,India,,,
3262,Nehru Gram Bharati Deemed University,India,,,
3263,Netaji Subhas College,India,,,
3264,New Horizon Institute of Technology & Management NHITM,India,,,
3265,NIE Institute of Technology,India,,,
3268,NIT College,India,,,
3270,NMS Kamaraj Polytechnic,India,,,
3271,Nopany Institute of Healthcare Studies,India,,,
3273,NRI Academy of Sciences,India,,,
3274,Paavai College of Engineering,India,,,
3275,Panimalar Polytechnic College,India,,,
3276,Pavai College of Technology,India,,,
3277,Pavendar Bharathidasan Institute of Information & Technology,India,,,
3278,Pazhassiraja College Pulpally,India,,,
3279,PDA College of Engineering Kalaburagi,India,,,
3280,PDM College of Engineering,India,,,
3281,PDM Polytechnic,India,,,
3282,PGDAV College,India,,,
3283,Picasso Animation College,India,,,
3285,Pioneer College,India,,,
3286,Pondicherry Technological University,India,,,
3287,Pope John Paul II College of Education,India,,,
3288,Postgraduate Institute of Medical Education and Research,India,,https://pgimer.nic.in/,
3289,Prasannadeb Women's College,India,,,
3292,Priyadarshi College of Engineering Sullurpeta,India,,,
3293,Priyadarshini College of Engineering,India,,,
3296,Prof Ram Meghe Institute of Technology & Research MITRA,India,,,
3297,Prof Rama Reddy College of Engineering & Technology,India,,,
3298,PSIT College of Engineering,India,,,
3300,Purushottam Institute of Engineering & Technology Rourkela,India,,,
3301,PVP College,India,,,
3302,Pydah College of Engineering & Technology,India,,,
3304,Quantum Global Campus,India,,,
3305,R C M College of Business Administration,India,,,
3306,R Engineering College PREC,India,,,
3307,R M University,India,,,
3308,R Patil College,India,,,
3309,R S College of Engineering & Technology,India,,,
3311,Raj Engineering College,India,,,
3313,Rajasthan Aryan Arts Shri Mithulalji Kacholiya Commerce & Shri Satyanarayanji Ramkrishnaji Rathi Science College,India,,,
3314,Rajasthan Institute of Engineering & Technology,India,,,
3318,Raksha Shakti University,India,,,
3319,Ramanujan College,India,,,
3320,Rattana Business Administration College,India,,,
3322,RNG Patel Institute of Technology,India,,,
3325,RVS Homoeopathic Medical College & Hospital,India,,,
3328,S M College of Engineering,India,,,
3329,S Patel Polytechnic,India,,,
3330,Sabarmati University,India,,,
3332,Saint Mary's College,India,,,
3334,Sana College of Pharmacy,India,,,
3339,Saraswathy College of Engineering & Technology SCET,India,,,
3340,SASTRA,India,,,
3341,Sathyabama Deemed University,India,,,
3343,SCAD Institute of Technology,India,,,
3344,Seshachala Institute of Technology,India,,,
3345,Seshadripuram Commerce College,India,,,
3349,Shri Ramswaroop Memorial College of Management,India,,,
3350,Shri Shankarlal Sundarbai Shasun Jain College for Women,India,,,
3351,Shri Vaishnav Institute of Management SVIM,India,,,
3353,Shyampur Siddheswari Mahavidyalaya,India,,,
3354,Sikkim Professional University,India,,,
3355,Silver Oak College of Engineering & Technology,India,,,
3356,Sir CR Reddy College Eluru,India,,,
3357,Sir J C Bose School of Engineering,India,,,
3359,Sir Vishveshwaraiah Institute of Science & Technology,India,,,
3361,Sree Anjaneya Institute of Dental Sciences SAIDS,India,,,
3362,Sree Chaitanya College,India,,,
3363,Sree Narayana College,India,,,
3364,Sree Sastha College of Engineering,India,,,
3365,Sree Sowdambika College of Engineering,India,,,
3366,Sree Venkateswara College SVCN,India,,,
3367,Sree Vidyanikethan Engineering College SVEC,India,,,
3369,Sri Annamachrya Institute of Technology & Sciences,India,,,
3370,Sri Indu Institute of Engineering & Technology,India,,,
3371,Sri Jay Dev College of Pharmaceutical Sciences,India,,,
3372,Sri Krishnadevaraya University Online,India,,https://skuniv.ap.nic.in/,
3379,Sri Taralabalu Jagadguru Institute of Technology,India,,,
3382,Sri Venkateswara Institute of Science & Information Technology,India,,,
3383,Sri Venkateswara Medical College,India,,,
3384,Srinivasa Institute of Engineering & Technology,India,,,
3385,Srinivasan Engineering College Thuraiyur,India,,,
3386,SRM TRP Engineering College,India,,,
3387,SRM Valliammai Engineering College,India,,,
3389,St Anns College for Women,India,,,
3390,St Francis' College,India,,,
3391,St George's College Aruvithura,India,,,
3393,St John's College,India,,,
3394,St Joseph College of Arts & Commerce College,India,,,
3395,St Joseph College of Engineering,India,,,
3397,St Joseph’s College of Business Administration,India,,,
3398,St Joseph's Colleges,India,,,
3399,St Paul’s Cathedral Mission College,India,,,
3400,St Paul's College,India,,,
3401,St Thomas College of Engineering,India,,,
3403,Sumandeep Vidhyapeeth University,India,,,
3404,SV College of Engineering & Technology,India,,,
3406,Swargiya Dadasaheb Kalmegh Smruti,India,,,
3407,Swarnandhra Institute of Engineering & Technology,India,,,
3408,Symbiosis Institute of Telecom Management,India,,,
3412,Tamil Nadu National Law School,India,,,
3414,Techno India Batanagar,India,,,
3415,Techno India College of Technology,India,,,
3416,Teegala Krishna Reddy Engineering College,India,,,
3417,Terna Engineering College,India,,,
3418,Tessellate College of Architecture Trivandrum,India,,,
3419,Thassim Beevi Abdul Kader College For Women,India,,,
3421,TRP Engineering College,India,,,
3423,ULTRA College of Engineering & Technology,India,,,
3424,Unity Degree College,India,,,
3426,University Institute,India,,,
3427,University Institute of Information Technology Himachal Pradesh University,India,,,
3432,V Parekh Technical Institute,India,,,
3433,V Raman Global University,India,,,
3434,V S Institute of Technology,India,,,
3438,Victoria Institution College,India,,,
3439,Vidya Bharathi Institute of Technology,India,,,
3440,Vidyabharti Mahavidyalaya,India,,,
3441,Vignan's Institute of Technology & Aeronautical Engineering,India,,,
3443,Vishwakarma Institute of Management,India,,,
3444,Vivek College,India,,,
3445,Vivekananda College of Engineering & Technology,India,,,
3455,YIT Younus Institute of Technology YCK,India,,,
3457,Yogananda Institute of Technology & Science,India,,,
3458,Zakirhusain PG Evening College,India,,,
3461,Bayan University,Iraq,,,
3464,Ibn Hayyan University College,Iraq,,,
3466,Middle Technical University,Iraq,,,
3467,Osol Al Deen University College,Iraq,,,
3470,Agriculture Higher Education Center of Khorasan Razavi,Iran,,,
3474,Aria University of Sciences & Sustainability,Iran,,,
3476,Azarbaijan Shahid Madani University Tarbiat Moallem,Iran,,,
3477,B A Institute of Higher Education,Iran,,,
3485,Daneshmand Higher Education Institute,Iran,,,
3486,East Azarbayjan Islamic Azad University Science & Research,Iran,,,
3488,Faculty of Science & Applied Telecommunications,Iran,,,
3489,Farabi Institute of Higher Education Graduate School of Management,Iran,,,
3490,Farhangyan University,Iran,,,
3492,Ghazali University,Iran,,,
3493,Golestan Higher Education Institute,Iran,,,
3497,Hatef University,Iran,,,
3498,Higher Education Institute Nedaye Danesh,Iran,,,
3504,Institute for Higher Education Ganjnameh,Iran,,,
3505,Institute for Higher Education Ghiyathoddin Jamshid Kashani,Iran,,,
3507,Institute of Higher Education Agriculture,Iran,,,
3509,Iran Management & Productivity Study Center,Iran,,,
3542,Islamic Azad University Fars Science & Research,Iran,,,
3545,Islamic Azad University Frieden,Iran,,,
3548,Islamic Azad University Gilanegharb,Iran,,,
3554,Islamic Azad University Hormoz,Iran,,,
3557,Islamic Azad University International Center for Persian Gulf,Iran,,,
3559,Islamic Azad University Jasb,Iran,,,
3595,Islamic Azad University Nevsehir,Iran,,,
3598,Islamic Azad University of Lashenesha Zibakenar,Iran,,,
3614,Islamic Azad University Savadkooh,Iran,,,
3619,Islamic Azad University Shawl,Iran,,,
3623,Islamic Azad University Songhor & Keliai Center,Iran,,,
3633,Islamic Azad University West Porch,Iran,,,
3635,Islamic Azad University Zahdshhr,Iran,,,
3639,Islamic Azad University Zone 9,Iran,,,
3643,Kadvs Institute of Higher Education,Iran,,,
3646,Lamei University,Iran,,,
3649,Mehr Institute of Higher Education,Iran,,,
3651,Molana Institute of Higher Education,Iran,,,
3653,North Institute of Higher Education,Iran,,,
3656,Payam Khorasan Razavi University,Iran,,,
3657,Payam Noor University,Iran,,https://pnu.ac.ir/,
3663,Payam Noor University Fern,Iran,,,
3667,Payam Noor University Gonbad Kavoos,Iran,,,
3672,Payam Noor University of Mazandaran,Iran,,,
3673,Payam Noor University Oz,Iran,,,
3674,Payam Noor University PolSefid,Iran,,,
3695,Sana Institute of Higher Education,Iran,,,
3696,Science & Arts University,Iran,,,
3697,Sepahan Institute of Higher Education,Iran,,,
3702,Subhan Institute of Higher Education,Iran,,,
3703,Tabarestan Institute of Higher Education,Iran,,,
3709,University of Applied Science & Technology Unit 31,Iran,,,
3726,Bifrost University,Iceland,,,
3731,Arrigo Boito State Conservatory of Music,Italy,,,
3732,Brera Academy Of Fine Arts,Italy,,,
3739,Ecampus Telematic University,Italy,,,
3740,F Casati High School for Linguistic Mediators,Italy,,,
3742,Free Mediterranean University Jean Monnet Lum,Italy,,,
3745,Gabriele D&#039;annunzio University Of Chieti &amp; Pescara,Italy,,,
3746,High School for Linguistic Mediators Padua,Italy,,,
3747,Higher Institute for Artistic Industries,Italy,,,
3751,Higher School of Linguistic Mediators San Pellegrino University Foundation,Italy,,,
3752,Humanitas University,Italy,,,
3754,International School for Advanced Studies,Italy,,,
3758,Luigi Vanvitelli University Of Campania,Italy,,,
3761,New Academy of Fine Arts Futurarium,Italy,,,
3763,Pegaso Telematic University,Italy,,,
3769,Pontifical Urbaniana University,Italy,,,
3776,Uninettuno International Telematic University,Italy,,,
3790,University Of Roma Tre,Italy,,,
3793,University Of Telematic Merchants University Of The Italian Chambers Of Commerce,Italy,,,
3795,University Of Tuscia,Italy,,,
3797,Caribbean Maritime Institute,Jamaica,,,
3798,Caribbean Maritime University,Jamaica,,,
3804,Bunri Sato Gakuen University of Hospitality,Japan,,,
3819,Hokuyo University,Japan,,,
3822,Japan Marine Technical College,Japan,,,
3826,Kacho Junior College,Japan,,,
3841,Kyushu Nutrition Welfare University,Japan,,,
3843,Marine Technical College,Japan,,,
3850,Nara Bunka Women's College,Japan,,,
3855,Nihonbashigakkan University,Japan,,,
3860,Nishi Kyushu University,Japan,,,
3871,Seibi University,Japan,,,
3876,Shoin Higashi Junior Women's College,Japan,,,
3878,St Thomas University,Japan,,,
3880,Teikyo University,Japan,,,
3884,Tokiwakai College,Japan,,,
3901,Yuge National College of Maritime Technology,Japan,,,
3903,Co operative University College of Kenya,Kenya,,,
3904,Institute of Advanced Technology Kenya,Kenya,,,
3909,Kibabii University College,Kenya,,,
3912,Murang'a University College,Kenya,,,
3916,Tangaza College,Kenya,,,
3923,Kyrgyz National Academy of Artists Acad T Sadykova,Kyrgyzstan,,,
3949,Chunnam Techno University,South Korea,,,
3954,Dong U College,South Korea,,,
3959,Gyeongbuk College of Health,South Korea,,,
3970,Korea International Culture University of Graduate,South Korea,,,
3971,Korea University of International Studies,South Korea,,,
3972,Korea University of Media Arts,South Korea,,,
3973,Kyungb Hee Cyber University,South Korea,,,
3975,Luther Theological University,South Korea,,,
3981,Seoyeng University,South Korea,,,
3984,Sung Duk College,South Korea,,,
3991,Yeungjin College,South Korea,,,
3993,Youngnam Foreign Language College,South Korea,,,
3998,Asfendiyarov Kazakh National Medical University,Kazakhstan,,,
4002,Caspian State University of Technology & Engineering Sh Yesenov,Kazakhstan,,,
4003,Caspian University,Kazakhstan,,,
4004,Central Asian Academy,Kazakhstan,,,
4005,Central Kazakhstan Academy Science & Education Centre Lingua,Kazakhstan,,,
4007,Eurasian University of Technology,Kazakhstan,,,
4008,Financial Academy,Kazakhstan,,,
4009,International Education Corporation,Kazakhstan,,,
4010,Karaganda Economical University Of Kazpotrebsoyuz,Kazakhstan,,,
4011,Karaganda Law Academy B Beisenov of Ministry of Internal Affairs,Kazakhstan,,,
4014,Kazakh Academy of Transport & Communication M Tynyshbayev,Kazakhstan,,,
4015,Kazakh Economic University,Kazakhstan,,,
4016,Kazakh National Agrarian University,Kazakhstan,,,
4018,Kazakh Russian University,Kazakhstan,,,
4019,Kazakh State Women Pedagogical University,Kazakhstan,,,
4020,Kazakhstan Innovation University,Kazakhstan,,,
4023,Modern Humanities Technical Institute,Kazakhstan,,,
4030,South Kazakhstan Pedagogical University,Kazakhstan,,,
4031,South Kazakhstan State Medical Academy,Kazakhstan,,,
4037,West Kazakhstan Engineering & Humanities University,Kazakhstan,,,
4038,West Kazakhstan State University M Otemisov,Kazakhstan,,,
4039,Zhubanov University,Kazakhstan,,,
4040,College of Health Technology,Laos,,,
4042,Antonine University,Lebanon,,,
4043,City University CITYU,Lebanon,,,
4044,Ecole des Arts Ghassan Yammine,Lebanon,,,
4045,Franco Lebanese University Technology Center of North Lebanon,Lebanon,,,
4047,Islamic University Of Lebanon,Lebanon,,,
4051,Rafik Hariri University,Lebanon,,,
4053,American International Medical University,Saint Lucia,,,
4054,College of Medicine & Health Sciences COMHS,Saint Lucia,,,
4055,Asia Pacific Institute of Information Technology Sri Lanka,Sri Lanka,,,
4058,IUHS Campus,Sri Lanka,,,
4062,United Methodist University,Liberia,,,
4066,Kolping College,Lithuania,,,
4068,Studiju kokybes vertinimo centras,Lithuania,,,
4100,Chouaib Eddoukali University,Morocco,,,
4101,ESSIC Higher School of Commercial Engineering Sciences,Morocco,,,
4106,Hassan II Ain Chock University Faculty of Dental Medicine,Morocco,,,
4111,Hassan II University Ain Chock Faculty of Letters & Human Sciences Ain Chock,Morocco,,,
4112,HECF School of Advanced Accounting & Financial Studies,Morocco,,,
4113,Hem Institute Of Advanced Management Studies,Morocco,,,
4114,HESCOM High School of Commercial Sciences,Morocco,,,
4115,Higher Institute of Management & Technology,Morocco,,,
4117,Higher School of Management & IT Sciences EGICO,Morocco,,,
4118,Higher School of Telecommunications Sup Telecom,Morocco,,,
4123,Institute of Higher Education in Management & Paramedical IESMP,Morocco,,,
4124,International Slavic University GR Derzhavin,Morocco,,,
4125,Knowledge Computer & Business Institute,Morocco,,,
4126,Mohammed First University Oujda,Morocco,,,
4131,Mohammed VI Polytechnic University School of Governance & Economics,Morocco,,,
4132,Mother Teresa University,Morocco,,,
4137,National School Of Mineral Industry,Morocco,,,
4139,"School of Commerce, Management & Private IT",Morocco,,,
4142,University for Tourism & Management Skopje,Morocco,,,
4149,Mediterranean University Montenegro,Montenegro,,,
4150,University Of Donja Gorica,Montenegro,,,
4151,"Higher School of Accounting, Administration & Business Management",Madagascar,,,
4152,Higher School of Information & Communication,Madagascar,,,
4153,American University of Myanmar,Myanmar,,,
4157,Connect Institute American University in Myanmar,Myanmar,,,
4159,Myanmar Maritime University,Myanmar,,,
4160,STI Myanmar University,Myanmar,,,
4162,University of Computer Studies Myikyina,Myanmar,,,
4163,University of Forestry & Environmental Science Yezin,Myanmar,,,
4180,University of Science Arts & Technology Faculty of Medicine,Montserrat,,,
4181,ITIS Malta Tourism Institute,Malta,,,
4183,University Of Technology Mauritius,Mauritius,,,
4185,Malawi Adventist University Malamulo Campus,Malawi,,,
4186,Millennium University,Malawi,,,
4187,Riverton University,Malawi,,,
4188,University Of Malawi College Of Medicine Liverpool Wellcome Trust,Malawi,,,
4191,American Continent University,Mexico,,,
4193,American Isthmus University,Mexico,,,
4194,American Technological University,Mexico,,,
4195,Anahuac College of Higher Studies,Mexico,,,
4198,AngloHispanoMexican University,Mexico,,,
4199,Art Institute of Higher Studies of Design,Mexico,,,
4200,Asia Pacific University,Mexico,,,
4201,Atemajac Valley University,Mexico,,,
4219,Autonomous University of the Pacific,Mexico,,,
4225,Bahia de Banderas Technological Institute,Mexico,,,
4231,Center for Higher Studies in Education,Mexico,,,
4232,Center for Higher Studies in Education CESE,Mexico,,,
4235,Center for Higher University Studies,Mexico,,,
4236,Center for Specialties in Development & Education,Mexico,,,
4237,Center for Technological & University Studies of the Gulf,Mexico,,,
4238,Centla Higher Technological Institute,Mexico,,,
4239,Ceunico University,Mexico,,,
4241,Chiapas Graduate Institute of Education,Mexico,,,
4242,China Institute of Technology,Mexico,,,
4247,Coalcoman Higher Technological Institute,Mexico,,,
4248,Columbia University Center,Mexico,,,
4249,Comitancillo Technological Institute,Mexico,,,
4250,Continental Valley University,Mexico,,,
4254,CUN College Northeastern University Center,Mexico,,,
4255,Descartes University of Science & Technology,Mexico,,,
4256,Desert University,Mexico,,,
4261,Ebony Higher Technological Institute,Mexico,,,
4263,Emmanuel Kant University Center,Mexico,,,
4268,Flacso Mexico Latin American Faculty Of Social Sciences,Mexico,,,
4270,Franco Mexican University UFRAM,Mexico,,,
4273,Galilee University,Mexico,,,
4274,Gastronomic Institute of Higher Studies,Mexico,,,
4276,Hidalgo State College,Mexico,,,
4277,Hidalgo State Music School,Mexico,,,
4279,Higher College of Gastronomy,Mexico,,,
4280,Higher Institute of Ecclesiastical Studies,Mexico,,,
4281,Higher Institute of Research & Teaching for Teaching,Mexico,,,
4287,Higher School of Sciences & Humanities,Mexico,,,
4288,Higher School of Visual Arts,Mexico,,,
4289,Higher Technological Institute of Cajeme,Mexico,,,
4303,Higher Technological Institute of the Sierra Region,Mexico,,,
4308,Ibeoamerican University,Mexico,,,
4309,Ibero-American University,Mexico,,,
4310,Iberoamerican International University,Mexico,,,
4311,Incarnate Word University Bajio Campus,Mexico,,,
4312,Institute of Higher Education in Accounting & Administration,Mexico,,,
4313,Institute of Higher Education Sciences,Mexico,,,
4314,Institute of Higher Fashion Studies Casa de Francia,Mexico,,,
4315,Institute of Higher Studies in Gastronomy IESEG,Mexico,,,
4316,Institute of Higher Tourism Studies,Mexico,,,
4318,Institute of Marketing & Advertising,Mexico,,,
4323,Inter American University Center CEUNI System,Mexico,,,
4324,Inter American University Center Southeast University,Mexico,,,
4326,Interamerican University of the North,Mexico,,,
4327,Interamerican University University of Business & Administration,Mexico,,,
4328,Intercontinental Higher Studies Center,Mexico,,,
4330,Interglobal University,Mexico,,,
4331,International Business College,Mexico,,,
4332,International Culinary School,Mexico,,,
4333,International university,Mexico,,,
4334,International University of International Higher Studies,Mexico,,,
4339,La Salle Higher Studies Center,Mexico,,,
4341,La Salle University Northwest,Mexico,,,
4343,Latin American Institute Of Educational Communication,Mexico,,,
4346,Loyola University of America,Mexico,,,
4350,Matatipac Institute of Technological & Higher Studies,Mexico,,,
4351,Mayab Technological University,Mexico,,,
4354,Metropolitan University Center,Mexico,,,
4355,Metropolitan University Institute,Mexico,,,
4356,Mexican American University Institute,Mexico,,,
4357,Mexican Institute of Pedagogical Studies Nayarit,Mexico,,,
4358,Mexican School,Mexico,,,
4359,Mexican Tourism Institute,Mexico,,,
4360,Mexican University,Mexico,,,
4363,Mexico Valley University Center,Mexico,,,
4364,Michoacan College,Mexico,,,
4367,Model University Group,Mexico,,,
4373,Narvarte University Center,Mexico,,,
4375,National College of Technical Vocational Education,Mexico,,,
4376,National Institute of Fiscal Studies,Mexico,,,
4377,National Institute of Public Administration,Mexico,,,
4378,National Institute of Public Health (INSP),Mexico,,,
4379,National Pedagogical University 213,Mexico,,,
4384,National Pedagogical University UPN Poza Rica,Mexico,,,
4386,National Pedagogical University UPN Unit 071,Mexico,,,
4388,National Pedagogical University UPN Unit 291,Mexico,,,
4389,National Pedagogical University UPN Virtual,Mexico,,,
4391,National Polytechnic Institute,Mexico,,,
4395,Northeastern American University,Mexico,,,
4396,Northeastern University & Technology College,Mexico,,,
4397,Northeastern University Center,Mexico,,,
4399,Northern Border College,Mexico,,,
4400,Northern Regional University,Mexico,,,
4403,Pan American Institute of Senior Business Management IPADE,Mexico,,,
4407,Patria University Center,Mexico,,,
4413,Polytechnic University of the Center,Mexico,,,
4417,Postgraduate College,Mexico,,,
4419,Professor Jesus Manuel Bustamante Mungarro State Normal School,Mexico,,,
4422,Puebla University Institute Yucatan Campus,Mexico,,,
4424,Quevedo University Center,Mexico,,,
4428,Saint Michael's University,Mexico,,,
4429,Salesian Institute of Higher Studies,Mexico,,,
4434,Scientific Technical & Educational Institute,Mexico,,,
4436,Sierra Technological University,Mexico,,,
4437,Sonora College,Mexico,,,
4438,Sonora State University,Mexico,,,
4439,Sonora Technological Institute,Mexico,,,
4440,Southeast Institute of Higher Studies,Mexico,,,
4441,Southeast University Institute,Mexico,,,
4442,Southern Border College,Mexico,,,
4443,Southern Regional Technological University,Mexico,,,
4444,Southern Sierra University,Mexico,,,
4445,Southern University Center CUS,Mexico,,,
4446,State University of Pedagogical Studies,Mexico,,,
4447,Swiss Hotel University,Mexico,,,
4448,Tamaulipas International Institute of Higher Studies,Mexico,,,
4460,Technological University of the Center,Mexico,,,
4462,Technological University of the Coast,Mexico,,,
4463,Technological University of the Sierra Hidalguense,Mexico,,,
4471,Tominaga Nakamoto University,Mexico,,,
4472,Uninter International University,Mexico,,,
4473,UNISO 21st Century University,Mexico,,,
4474,Universidad del Claustro de Sor Juana,Mexico,,,
4475,Universidad Politecnica de Chiapas,Mexico,,,
4476,Universidad Tangamanga S.C.,Mexico,,,
4477,University Center of Gastronomy,Mexico,,,
4479,University Center of the West,Mexico,,,
4482,University Institute of Technology & Humanities,Mexico,,,
4484,University of Advanced Studies,Mexico,,,
4491,University of International Relations & Studies,Mexico,,,
4498,University of the Center of Bajio,Mexico,,,
4499,University Of The Sea,Mexico,,,
4501,University of Veracruz UNIVER Campus Nayarit,Mexico,,,
4504,Veracruz Institute of Higher Education,Mexico,,,
4505,Veracruz Study Center,Mexico,,,
4506,Veracruzano University Institute,Mexico,,,
4507,Windsor Higher Institute of Professional Studies,Mexico,,,
4509,Zacatecas Oeste Technological Institute,Mexico,,,
4510,Zacatecas Sur Higher Technological Institute,Mexico,,,
4511,Arau Community College,Malaysia,,,
4513,Asia Metropolitan University Asia Metropolitan College,Malaysia,,,
4515,Baitulmal Professional Institute,Malaysia,,,
4516,Batu Lanchang Vocational College,Malaysia,,,
4517,Bayu College,Malaysia,,,
4518,Co Operative College of Malaysia,Malaysia,,,
4519,Community College Bookie,Malaysia,,,
4520,Cybernetics International College of Technology,Malaysia,,,
4522,DRB HICOM University of Automotive Malaysia,Malaysia,,,
4523,Eastern College,Malaysia,,,
4524,Eastern College of Technology,Malaysia,,,
4525,EU Institute,Malaysia,,,
4526,Felcra College,Malaysia,,,
4527,Gerik Community College,Malaysia,,,
4528,HELP College of Arts & Technology,Malaysia,,,
4529,How come Lanas Community College,Malaysia,,,
4530,IBS College,Malaysia,,,
4532,Insaniah University College,Malaysia,,,
4533,Institute of Science & Management,Malaysia,,,
4534,"Institute of Teacher Education, Pulau Pinang Campus",Malaysia,,,
4535,International College of Technology & Professional,Malaysia,,,
4536,International Institute of Science Mantin,Malaysia,,,
4537,International Islamic University College Selangor,Malaysia,,,
4540,International Open College,Malaysia,,,
4542,KDU Penang University College,Malaysia,,,
4543,KDU University College,Malaysia,,,
4545,Kuala Klawang Vocational College,Malaysia,,,
4546,Kuala Langat Community College,Malaysia,,,
4548,Lincoln University College Malaysia,Malaysia,,,
4549,MAHSA Avenue International College MPIC,Malaysia,,,
4550,Malay Campus Teacher Education Institute,Malaysia,,,
4551,Manipal International University,Malaysia,,,
4554,MCS College,Malaysia,,,
4555,MEA College of Technology,Malaysia,,,
4556,Melaka Tengah Vocational College,Malaysia,,,
4557,National Defense University Of Malaysia,Malaysia,,,
4559,Netherlands Maritime Institute of Technology,Malaysia,,,
4560,Newbridge College,Malaysia,,,
4561,NIIT College,Malaysia,,,
4562,Pelandar Community College,Malaysia,,,
4563,Penang Medical College,Malaysia,,,
4565,Pintar College,Malaysia,,,
4566,Point College,Malaysia,,,
4569,SC College,Malaysia,,,
4570,Shahputra University College,Malaysia,,,
4571,Sultan Azlan Shah Islamic University College,Malaysia,,,
4572,Sultan Azlan Shah University USAS,Malaysia,,,
4573,Sungai Tanjung 2 Vocational College,Malaysia,,,
4575,Technical University Of Malaysia Melaka,Malaysia,,,
4576,Terra College,Malaysia,,,
4580,Unitar International University,Malaysia,,,
4581,Universiti Antarabangsa Tunku UniTunku,Malaysia,,,
4584,University College of Technology Sarawak,Malaysia,,,
4585,University Islam Pahang Sultan Ahmad Shah,Malaysia,,,
